,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
0,Afghanistan,2.0,2.0,4.0,12.0,3.0,28.0,1.0,7.0,8.0,29.0,8.0,15.0,0.0,6.0,2.0,0.0,4.0,56.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,14.0,34.0,,
1,Akrotiri Sovereign Base Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,1.0,1.0,7.0,16.0,2.0,10.0,2.0,1.0,9.0,20.0,10.0,12.0,3.0,1.0,4.0,8.0,0.0,50.0,0.0,6.0,12.0,0.0,4.0,3.0,0.0,7.0,6.0,13.0,18.0,8.0,2.0,1.0,4.0,62.0,,
4,Algeria,0.0,4.0,0.0,18.0,11.0,5.0,2.0,1.0,9.0,27.0,15.0,12.0,2.0,3.0,8.0,14.0,10.0,1.0,0.0,4.0,10.0,2.0,4.0,6.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,55.0,5.0,1.0
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,8.0,5.0,1.0
7,Angola,2.0,6.0,1.0,3.0,3.0,28.0,1.0,7.0,6.0,30.0,5.0,10.0,1.0,0.0,12.0,4.0,18.0,51.0,0.0,4.0,8.0,0.0,7.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0
8,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
9,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
